year,state_min_wage,state,lh_employment,federal_min_wage,eff_min_wage,log_min_wage,log_employment,minwage_change
2000,5.65,AK,27.925,5.15,5.65,1.7316555451583497,3.3295223449552642,
2001,5.65,AK,28.266666666666666,5.15,5.65,1.7316555451583497,3.3416832541297476,0.0
2002,5.65,AK,29.28333333333333,5.15,5.65,1.7316555451583497,3.3770185259649965,0.0
2003,7.15,AK,29.641666666666666,5.15,7.15,1.9671123567059163,3.389181029166409,1.5
2004,7.15,AK,30.15833333333333,5.15,7.15,1.9671123567059163,3.4064612807816963,0.0
2005,7.15,AK,30.958333333333332,5.15,7.15,1.9671123567059163,3.4326422143698134,0.0
2006,7.15,AK,31.483333333333334,5.15,7.15,1.9671123567059163,3.4494583052794088,0.0
2007,7.15,AK,32.050000000000004,5.85,7.15,1.9671123567059163,3.467297183366679,0.0
2008,7.15,AK,32.13333333333333,6.55,7.15,1.9671123567059163,3.46989391294839,0.0
2009,7.15,AK,31.183333333333334,7.25,7.25,1.9810014688665833,3.439883764051989,0.09999999999999964
2010,7.75,AK,31.525000000000002,7.25,7.75,2.0476928433652555,3.4507808818509833,0.5
2011,7.75,AK,32.483333333333334,7.25,7.75,2.0476928433652555,3.4807271372854602,0.0
2012,7.75,AK,33.300000000000004,7.25,7.75,2.0476928433652555,3.5055573969863985,0.0
2013,7.75,AK,33.75833333333333,7.25,7.75,2.0476928433652555,3.5192273004206447,0.0
2014,7.75,AK,34.208333333333336,7.25,7.75,2.0476928433652555,3.5324692791044825,0.0
2015,8.75,AK,35.03333333333333,7.25,8.75,2.169053700369523,3.5562999892147955,1.0
2016,9.75,AK,35.30833333333333,7.25,9.75,2.277267285009756,3.5641190078445133,1.0
2017,9.8,AK,35.43333333333333,7.25,9.8,2.2823823856765264,3.5676529966797923,0.05000000000000071
2018,9.84,AK,35.6,7.25,9.84,2.286455711064162,3.572345637857985,0.03999999999999915
2019,9.89,AK,36.225,7.25,9.89,2.2915241456346207,3.589749488206746,0.05000000000000071
2020,10.19,AK,26.666666666666668,7.25,10.19,2.321406847234633,3.283414346005772,0.29999999999999893
2021,10.34,AK,30.383333333333336,7.25,10.34,2.336019869080283,3.4138942124565625,0.15000000000000036
2022,10.34,AK,34.28333333333334,7.25,10.34,2.336019869080283,3.5346593274308566,0.0
2023,10.85,AK,35.766666666666666,7.25,10.85,2.3841650799864684,3.577016360968543,0.5099999999999998
2000,5.15,AR,85.74166666666667,5.15,5.15,1.6389967146756448,4.451338899593765,
2001,5.15,AR,86.79166666666667,5.15,5.15,1.6389967146756448,4.463510610913026,0.0
2002,5.15,AR,87.44166666666666,5.15,5.15,1.6389967146756448,4.470971904375865,0.0
2003,5.15,AR,88.25,5.15,5.15,1.6389967146756448,4.480173695813406,0.0
2004,5.15,AR,90.88333333333333,5.15,5.15,1.6389967146756448,4.50957663270396,0.0
2005,5.15,AR,94.24166666666667,5.15,5.15,1.6389967146756448,4.545862405089281,0.0
2006,5.15,AR,97.48333333333333,5.15,5.15,1.6389967146756448,4.579681423220925,0.0
2007,6.25,AR,99.28333333333335,5.85,6.25,1.8325814637483102,4.597977715406587,1.0999999999999996
2008,6.25,AR,100.71666666666665,6.55,6.55,1.8794650496471605,4.612311294139458,0.2999999999999998
2009,6.25,AR,99.64166666666667,7.25,7.25,1.9810014688665833,4.601580417137534,0.7000000000000002
2010,6.25,AR,98.79166666666667,7.25,7.25,1.9810014688665833,4.59301325571746,0.0
2011,6.25,AR,100.175,7.25,7.25,1.9810014688665833,4.606918656522208,0.0
2012,6.25,AR,102.80833333333334,7.25,7.25,1.9810014688665833,4.632866413289419,0.0
2013,6.25,AR,104.96666666666665,7.25,7.25,1.9810014688665833,4.653642839438869,0.0
2014,6.25,AR,107.70833333333333,7.25,7.25,1.9810014688665833,4.679426956594583,0.0
2015,7.5,AR,111.76666666666667,7.25,7.5,2.0149030205422647,4.716413364804073,0.25
2016,8.0,AR,115.325,7.25,8.0,2.0794415416798357,4.747754229443884,0.5
2017,8.5,AR,116.54166666666667,7.25,8.5,2.1400661634962708,4.758248862854014,0.5
2018,8.5,AR,118.31666666666666,7.25,8.5,2.1400661634962708,4.773364645817285,0.0
2019,9.25,AR,120.78333333333335,7.25,9.25,2.224623551524334,4.793998306887181,0.75
2020,10.0,AR,106.45,7.25,10.0,2.302585092994046,4.667675391339489,0.75
2021,11.0,AR,116.0,7.25,11.0,2.3978952727983707,4.7535901911063645,1.0
2022,11.0,AR,122.66666666666667,7.25,11.0,2.3978952727983707,4.809470649500821,0.0
2023,11.0,AR,127.55833333333334,7.25,11.0,2.3978952727983707,4.848573776309661,0.0
2007,6.75,AZ,272.8666666666667,5.85,6.75,1.9095425048844386,5.608983275390193,
2008,6.9,AZ,270.27500000000003,6.55,6.9,1.9315214116032138,5.599439959178835,0.15000000000000036
2009,7.25,AZ,255.98333333333335,7.25,7.25,1.9810014688665833,5.545112338193528,0.34999999999999964
2010,7.25,AZ,253.90833333333333,7.25,7.25,1.9810014688665833,5.536973309492755,0.0
2011,7.35,AZ,259.2583333333333,7.25,7.35,1.9947003132247452,5.5578249905981725,0.09999999999999964
2012,7.65,AZ,266.8666666666667,7.25,7.65,2.0347056478384444,5.586749157890363,0.3000000000000007
2013,7.8,AZ,275.85833333333335,7.25,7.8,2.0541237336955462,5.619887448917143,0.14999999999999947
2014,7.9,AZ,286.51666666666665,7.25,7.9,2.066862759472976,5.657796707819393,0.10000000000000053
2015,8.05,AZ,299.025,7.25,8.05,2.0856720914304723,5.700527181935528,0.15000000000000036
